formula,P,Tc,AD
Li4H7,500,11,-1
Li4H7,450,11,-1
BeH,200,11,1
BeH,250,11,1
Be4H7,450,11,-1
Be4H3,450,11,1
Be4H3,400,11,-1
Li4H3,400,11,-1
Be6H,500,11,-1
Li3H2,400,11,-1
Li3H2,450,11,-1
Li3H2,500,11,-1
Be3H2,500,11,-1
Be5H3,500,11,-1
Be4H7,500,11,-1
Be4H,450,11,1
Be5H2,500,11,-1
Be5H2,450,11,-1
Li5H2,450,11,-1
Li5H2,500,11,-1
Be5H4,450,11,-1
Be5H4,500,11,-1
Be5H,500,11,-1
Be5H,450,11,-1
Be3H,500,11,-1
Be3H,450,11,-1
Li5H,500,11,-1
Li5H,450,11,-1
Be3H,400,11,-1
Be3H2,400,11,-1
Be3H2,450,11,-1
Li5H3,450,11,-1
Li5H3,500,11,-1
Be4H,500,11,-1
Be4H3,500,11,-1
Be4H,400,11,-1
Li4H,400,11,-1
LiH,300,11,1
LiH,250,11,1
LiH,200,11,1
Li4H,450,11,-1
Li3H5,400,11,-1
Li3H5,450,11,-1
Li3H5,500,11,-1
Li3H,400,11,-1
Li4H5,400,11,-1
Li3H,450,11,-1
Li3H,500,11,-1
Be3H5,500,11,-1
Be3H5,450,11,-1
Be3H5,400,11,-1
Li4H3,500,11,-1
Li4H3,450,11,-1
Li6H,500,11,-1
Be5H3,450,11,-1
Li3H4,500,11,-1
Be3H4,450,11,-1
Li4H5,450,11,-1
Be3H4,400,11,-1
Be3H4,500,11,-1
Li4H5,500,11,-1
Li3H4,450,11,-1
Li3H4,400,11,-1
Li4H,500,11,-1
Li4H3,100,10,1
Li4H,250,10,1
Be3H2,200,10,-1
Li5H3,100,10,-1
Li5H3,50,10,-1
Li4H,200,10,1
Li4H3,50,10,-1
Be3H2,250,10,-1
Li5H3,150,10,-1
Li3H4,200,10,-1
Li3H4,150,10,-1
Li3H4,100,10,-1
Be5H4,250,10,-1
Be5H4,100,10,-1
Be5H4,50,10,-1
Be3H5,250,10,-1
Be3H2,150,10,-1
Li5H3,200,10,-1
Be3H2,100,10,-1
Li3H4,50,10,-1
Li3H5,100,10,-1
Li4H3,250,10,1
Be3H,200,10,-1
Li5H4,250,10,-1
Li3H5,150,10,-1
Be3H,250,10,-1
Li5H4,100,10,-1
Li3H5,200,10,-1
Be3H2,50,10,-1
Li3H5,250,10,-1
Li3H4,250,10,-1
Li4H3,200,10,1
Li4H3,150,10,1
Li5H2,250,10,-1
Li5H3,250,10,-1
Li3H5,50,10,-1
Li5H4,50,10,-1
Be3H5,200,10,-1
Li5H2,200,10,-1
Be4H5,150,10,-1
Be4H3,50,10,1
Be4H3,100,10,1
Be4H3,150,10,1
Be4H3,200,10,1
Be4H3,250,10,1
Be4H5,100,10,-1
Be4H5,200,10,-1
Li5H,250,10,-1
Be4H5,250,10,-1
Be3H4,250,10,-1
Be3H4,200,10,-1
Be3H4,150,10,-1
Be3H4,100,10,-1
Be3H4,50,10,-1
Be4H,250,10,1
Be4H,200,10,1
Be3H5,50,10,-1
Be3H5,100,10,-1
Be3H5,150,10,-1
Li4H5,250,10,-1
Li4H5,200,10,-1
Li4H5,150,10,-1
Li4H5,100,10,-1
Li3H,200,10,-1
Li3H,250,10,-1
Li4H5,50,10,-1
Li3H2,50,10,-1
Li3H2,100,10,-1
Li3H2,150,10,-1
Li3H2,200,10,-1
Li3H2,250,10,-1
Li5H,200,10,-1
Be4H5,50,10,-1
Li5H2,150,10,-1
Li5H2,50,10,-1
Be5H3,250,10,-1
Be5H3,50,10,-1
Be5H3,200,10,-1
Be5H2,200,10,-1
Be5H,250,10,-1
Be5H2,50,10,-1
Be5H2,100,10,-1
Be5H2,250,10,-1
Be5H,200,10,-1
Be5H3,150,10,-1
Be5H3,100,10,-1
Be5H2,150,10,-1
Li5H2,100,10,-1
LiH3,150,9,1
LiH3,100,9,1
BeH3,150,9,1
BeH3,100,9,1
LiH3,50,9,-1
BeH3,50,9,1
Be8H3,150,7,-1
Be10H,100,7,-1
Be8H7,100,7,-1
Be7H9,100,7,-1
Be7H9,150,7,-1
Be9H7,150,7,-1
Be8H7,150,7,-1
Be7H5,150,7,-1
Be8H3,100,7,-1
Be10H7,50,7,-1
Be7H9,50,7,-1
Be8H5,100,7,-1
Be8H9,50,7,-1
Be8H9,100,7,-1
Be8H9,150,7,-1
Be9H10,100,7,-1
Be9H10,50,7,-1
Be9H2,150,7,-1
Be10H,50,7,-1
Be9H7,100,7,-1
Be7H5,50,7,-1
Be7H5,100,7,-1
Be9H5,150,7,-1
Be9H5,100,7,-1
Be9H5,50,7,-1
Be9H,50,7,-1
Be9H7,50,7,-1
Be9H,150,7,-1
Be9H,100,7,-1
Be8H5,150,7,-1
Be9H4,150,7,-1
Be9H4,100,7,-1
Be8H5,50,7,-1
Be9H4,50,7,-1
Be9H2,50,7,-1
Be9H8,50,7,-1
Be7H6,100,7,-1
Be9H8,100,7,-1
Be7H6,150,7,-1
Be10H3,50,7,-1
Be7H10,150,7,-1
Be7H10,100,7,-1
Be9H10,150,7,-1
Be10H7,150,7,-1
Be10H3,100,7,-1
Be9H8,150,7,-1
Be10H9,150,7,-1
Be7H8,100,7,-1
Be10H9,100,7,-1
Be8H3,50,7,-1
Be10H,150,7,-1
Be10H7,100,7,-1
Be7H8,150,7,-1
Be8H7,50,7,-1
Be7H8,50,7,-1
Be9H2,100,7,-1
Be10H9,50,7,-1
Be8H,150,7,-1
Be8H,100,7,-1
Be7H6,50,7,-1
Be10H3,150,7,-1
Be8H,50,7,-1
Be7H10,50,7,-1
Li5H8,100,7,-1
Be7H4,150,7,-1
Be2H,150,7,-1
Li9H8,100,7,-1
Li9H8,50,7,-1
Li9H7,150,7,-1
Li9H7,100,7,-1
Li9H7,50,7,-1
Li9H5,150,7,-1
Li9H5,100,7,-1
Li9H5,50,7,-1
Li9H4,150,7,-1
Li9H4,100,7,-1
Li9H4,50,7,-1
Li9H2,150,7,-1
Li9H2,100,7,-1
Li9H2,50,7,-1
Li9H,150,7,-1
Li9H,100,7,-1
Li9H,50,7,-1
Li8H9,150,7,-1
Li8H9,100,7,-1
